Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
CHFR,2.5008354e-08,-35.16193389892578,-1.5546688874306007,0.09748952,0.7548633636607054,0.8107891747837426
PTK2,2.5000194e-08,-35.163089752197266,-1.5553003758711348,0.0974259,0.7549407985045701,0.8105822312387173
RHOT1,2.4982509e-08,-35.16559600830078,-1.5566696428857583,0.09728812,0.7551085951078572,0.8104724227176965
PTPN12,2.4963706e-08,-35.16825866699219,-1.5581243588312788,0.09714172,0.7552870236218926,0.8103741000676795
RB1,2.4952119e-08,-35.16990280151367,-1.559022614665834,0.09705157,0.7553969746227013,0.8102024020166999
HNRNPH3,2.495116e-08,-35.17003631591797,-1.5590955588751365,0.09704411,0.7554060730777672,0.8099226957150337
SPI1,2.4930996e-08,-35.17290115356445,-1.560660733194744,0.09688733,0.7555974294489325,0.8098385306343737
UBE2G2,2.4904539e-08,-35.176658630371094,-1.562713591656546,0.096681796,0.7558485425870141,0.8098184492337126
MSH3,2.489795e-08,-35.17759323120117,-1.5632242011216642,0.09663065,0.755911079607938,0.8095964132417638
ASAH1,2.4884782e-08,-35.179466247558594,-1.5642475041721666,0.09652846,0.7560360713802365,0.8094414021448768
ZNF326,2.4877506e-08,-35.18050003051758,-1.5648123007641954,0.096472025,0.7561051373091943,0.8092266465994622
PITPNB,2.4872076e-08,-35.1812744140625,-1.5652353771781504,0.09642991,0.7561566936183788,0.8089933110690748
CLASRP,2.4864287e-08,-35.1823844909668,-1.565841856175495,0.09636952,0.7562306341220905,0.8087840816109743
FOXK2,2.4854852e-08,-35.1837272644043,-1.5665754665090528,0.09629641,0.7563201904117488,0.8085916962684924
TASP1,2.485124e-08,-35.184242248535156,-1.5668568227449342,0.096268415,0.7563544877518421,0.808340390934216
CD37,2.4815332e-08,-35.189361572265625,-1.569653712141623,0.09599041,0.7566954121546623,0.808416850080506
PARVG,2.4800311e-08,-35.191505432128906,-1.5708249877309963,0.09587425,0.7568380255225889,0.8082814642680746
SMAD4,2.4796794e-08,-35.1920051574707,-1.5710980074858147,0.095847055,0.7568714263312524,0.8080295803700065
SOS2,2.4782018e-08,-35.19411849975586,-1.5722526101130616,0.09573286,0.7570117389870417,0.807891973221946
SIRPA,2.477339e-08,-35.195350646972656,-1.5729257809589114,0.09566622,0.7570936601598371,0.8076921699749986
MDM2,2.475811e-08,-35.19753646850586,-1.5741199818712086,0.095548235,0.7572387842424841,0.8075599116956983
ZC3H6,2.4753373e-08,-35.198211669921875,-1.5744888711582532,0.095511675,0.7572837728333666,0.8073209954788395
TFG,2.474767e-08,-35.19902801513672,-1.574934872895132,0.09546768,0.7573379238426752,0.8070920132996691
FOXK1,2.474679e-08,-35.199153900146484,-1.575003648863903,0.095460884,0.7573462884346565,0.8068144166107222
EVL,2.473402e-08,-35.20098114013672,-1.576001942471216,0.09536238,0.757467584152253,0.8066572817746314
PLEKHO1,2.472987e-08,-35.201576232910156,-1.576327065232679,0.09533039,0.7575069941043936,0.8064130859550498
OSBPL9,2.4724109e-08,-35.20240020751953,-1.5767772352100895,0.095285974,0.7575617156441553,0.8061853576766348
TMEM273,2.472301e-08,-35.20256042480469,-1.5768647682612524,0.0952775,0.7575721548063187,0.805910682940008
SLC7A7,2.472203e-08,-35.20269775390625,-1.576939796590821,0.095269956,0.7575814559128371,0.805634992627365
REEP5,2.4716046e-08,-35.203556060791016,-1.5774087236506233,0.09522384,0.7576382996756428,0.8054100380186341
SLC22A23,2.4704157e-08,-35.20526123046875,-1.578340325409431,0.095132254,0.7577512237936523,0.8052448380328437
RPL36,2.4659663e-08,-35.211647033691406,-1.5818291427343616,0.09478988,0.758173912765081,0.8054088184807107
TBK1,2.4642393e-08,-35.21412658691406,-1.5831838209071245,0.09465716,0.758337986633099,0.8052980530381918
RBMX,2.4638398e-08,-35.21470260620117,-1.5834985230672585,0.09462647,0.7583759442759352,0.8050534873618966
MTMR1,2.4613723e-08,-35.2182502746582,-1.5854367549144421,0.094437025,0.7586104099174366,0.8050176238197408
SOS1,2.4550667e-08,-35.22733688354492,-1.5904011293875513,0.09395379,0.7592096511326343,0.805368739147768
GIGYF2,2.4550202e-08,-35.2274055480957,-1.5904386435523357,0.09395023,0.7592140736915585,0.8050888463421791
ARHGAP32,2.4544974e-08,-35.2281608581543,-1.5908512993649617,0.09391022,0.7592637643907902,0.8048571377381708
ANXA5,2.4539586e-08,-35.228939056396484,-1.5912764598991826,0.09386899,0.7593149755056641,0.8046272039168424
HBP1,2.4516877e-08,-35.23221969604492,-1.5930688033277611,0.09369534,0.7595308304175874,0.8045718397752134
GDAP2,2.4509527e-08,-35.233280181884766,-1.5936481887616505,0.09363917,0.7596006987603824,0.8043619255398403
TGFB1,2.450836e-08,-35.23345184326172,-1.593741974173611,0.093630254,0.7596117941707883,0.8040899450816704
AP3B1,2.450309e-08,-35.23421096801758,-1.594156714106503,0.09358999,0.7596618929263836,0.8038594290099004
PFN1,2.449617e-08,-35.23521423339844,-1.5947048377364055,0.093537144,0.7597276677496103,0.803645657707642
OXSR1,2.4474666e-08,-35.23832702636719,-1.5964054798732892,0.093372986,0.7599321138966801,0.8035786729400765
SLC30A7,2.4454367e-08,-35.241268157958984,-1.5980123365982124,0.09321816,0.7601251134786929,0.8034996356285866
SALL1,2.4451051e-08,-35.24174880981445,-1.5982749357517019,0.09319289,0.760156634180079,0.8032500208360623
ATG16L2,2.4442382e-08,-35.243003845214844,-1.5989606113191464,0.09312682,0.7602390635667985,0.8030543575374736
HOOK3,2.4441466e-08,-35.24313735961914,-1.599033555528449,0.09311983,0.7602477842862067,0.8027809995224864
MIS18BP1,2.4423299e-08,-35.24577331542969,-1.600473682632109,0.09298146,0.7604205245220208,0.8026809687269028
UBE2N,2.441612e-08,-35.2468147277832,-1.6010426474646695,0.09292681,0.7604887868697949,0.8024707627975579
UTP6,2.441336e-08,-35.247215270996094,-1.6012614800925773,0.0929058,0.7605150367190614,0.8022163884688588
STRADA,2.4399693e-08,-35.24919891357422,-1.6023452226307875,0.0928018,0.760645011953374,0.8020715674181571
USP6NL,2.4390763e-08,-35.25049591064453,-1.6030538235211558,0.09273388,0.7607299420266761,0.8018793663582912
NHSL1,2.4386138e-08,-35.25117111206055,-1.6034227128082004,0.09269872,0.7607739203857204,0.8016441485525095
TREM2,2.437506e-08,-35.25278091430664,-1.6043022115603633,0.092614524,0.7608792762476329,0.8014737479884684
SLC2A9,2.4345482e-08,-35.257083892822266,-1.606653099220173,0.0923899,0.7611606026711415,0.8014887609179283
DCLRE1C,2.4336172e-08,-35.25844192504883,-1.607395046034794,0.09231925,0.761249158346291,0.8013008502971656
TMC8,2.4307369e-08,-35.26264190673828,-1.6096896624474275,0.09210084,0.7615231755897891,0.8013082222808405
TUBA1B,2.4259695e-08,-35.26960372924805,-1.6134931819324922,0.09173992,0.7619767487464479,0.8015044595121241
S100PBP,2.4244912e-08,-35.27176284790039,-1.6146727940029288,0.09162816,0.7621174068018262,0.8013715269139033
SCP2,2.4233398e-08,-35.2734489440918,-1.6155939751604076,0.09154114,0.762226980711543,0.8012060137006448
PRKX,2.4203496e-08,-35.277828216552734,-1.617986545225533,0.091315374,0.7625115433961973,0.8012244894019567
TUBGCP3,2.4176442e-08,-35.281795501708984,-1.6201540303019537,0.091111355,0.7627690244715546,0.8012145055789763
RAF1,2.4161011e-08,-35.2840576171875,-1.6213899136195664,0.09099508,0.7629159076985211,0.8010883971320021
STAT3,2.4132843e-08,-35.2881965637207,-1.6236511841079473,0.09078303,0.7631840456669013,0.8010896540910707
IFI44L,2.412914e-08,-35.28874206542969,-1.6239492133059552,0.09075517,0.7632192970671545,0.8008465421323534
MOSMO,2.40817e-08,-35.29572296142578,-1.627763153392349,0.09039866,0.7636709502279644,0.8010403780615594
CCDC66,2.4047804e-08,-35.300724029541016,-1.630495435060798,0.09014436,0.7639937137686336,0.8010989290774526
PRIM2,2.4040466e-08,-35.30180358886719,-1.6310852410960164,0.09008934,0.7640636046064928,0.8008923777240953
SUCLA2,2.4022428e-08,-35.30447006225586,-1.6325420411618028,0.08995422,0.7642353637789925,0.8007927118368562
TDRD7,2.4002318e-08,-35.30744171142578,-1.6341655708488523,0.08980367,0.7644268928137656,0.8007138238513476
SYT17,2.4002212e-08,-35.307456970214844,-1.6341739073299155,0.089802876,0.764427907513018,0.8004355025982439
SOCS6,2.398877e-08,-35.309444427490234,-1.6352597339883914,0.08970232,0.764555931757926,0.8002903213134064
PRAM1,2.3978135e-08,-35.31101989746094,-1.6361204756581622,0.0896228,0.7646572321557343,0.8001172781378518
MICU2,2.3967324e-08,-35.312618255615234,-1.6369937220495279,0.08954201,0.7647602057258316,0.7999461057452842
VPS54,2.3935424e-08,-35.31734848022461,-1.6395780311791062,0.08930381,0.7650640941620834,0.7999851381813283
XPA,2.392732e-08,-35.31855010986328,-1.6402345290628295,0.089243345,0.7651412985062364,0.7997871949903222
SELENOP,2.39178e-08,-35.31996154785156,-1.6410056535611715,0.08917233,0.7652320107512622,0.7996035042703823
DCTN4,2.3892866e-08,-35.323665618896484,-1.6430293343392526,0.088986516,0.7654695660060438,0.7995733266913112
PARN,2.3891964e-08,-35.32379913330078,-1.6431022785485552,0.088979796,0.7654781626783393,0.7993040940145082
UBC,2.3870681e-08,-35.326961517333984,-1.644830014248894,0.088821344,0.7656809541439488,0.7992377542212139
NAP1L4,2.384545e-08,-35.330718994140625,-1.646882872710696,0.08863367,0.7659213987831971,0.7992107502602136
SLC25A37,2.3844732e-08,-35.33082580566406,-1.6469412280781381,0.088628344,0.7659282279449929,0.7989400806614264
ETNK1,2.3839737e-08,-35.33156967163086,-1.647347631529967,0.08859121,0.7659758377088771,0.7987121226422308
KHDRBS1,2.3836412e-08,-35.332061767578125,-1.647616483044254,0.0885665,0.7660075294408139,0.7984677304105183
SLC38A2,2.3723265e-08,-35.348960876464844,-1.6568491358216986,0.08772767,0.7670860716481543,0.7993143406305943
U2SURP,2.36653e-08,-35.35765075683594,-1.6615967617871656,0.0872995,0.767638766641472,0.7996126132214708
FGF20,2.3652403e-08,-35.359588623046875,-1.6626554948821866,0.08720437,0.7677617717181421,0.7994632466780516
GAB3,2.3648825e-08,-35.36012649536133,-1.6629493558396626,0.08717799,0.767795885812479,0.7992214544999132
HIF1A,2.3640693e-08,-35.36134719848633,-1.6636162743247151,0.08711804,0.7678734536156434,0.7990250465674569
CADM2,2.3609497e-08,-35.36603927612305,-1.6661797422516356,0.086888276,0.7681709806869017,0.799057578177259
NR3C2,2.360447e-08,-35.366798400878906,-1.6665944821845275,0.08685127,0.7682189425971382,0.7988305775239125
PLP1,2.3580437e-08,-35.37041473388672,-1.6685702281964954,0.08667451,0.7684481775460545,0.7987921651595808
UBE2G1,2.3571605e-08,-35.37174606323242,-1.6692975861692556,0.086609595,0.7685324313378351,0.798603125500292
WASF2,2.3551818e-08,-35.374732971191406,-1.6709294523373683,0.086464256,0.7687211864499948,0.798522769309946
